"STATION","NAME","DATE","AWND","PRCP","TAVG","TMAX","TMIN"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-06-10","13.87","0.00","64","78","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-06-11","14.32","0.00","63","79","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-06-12","18.12","0.00","62","67","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-06-13","15.21","0.00","61","68","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-06-14","11.41","0.00","63","70","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-06-15","19.24","0.00","61","70","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-06-16","20.80","0.00","61","68","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-06-17","9.84","0.00","64","82","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-06-18","10.51","0.00","67","86","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-06-19","11.41","0.00","65","73","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-06-20","9.17","0.00","61","73","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-06-21","14.09","0.00","62","69","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-06-22","9.17","0.00","62","76","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-06-23","9.84","0.00","64","74","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-06-24","11.18","0.00","63","73","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-06-25","10.51","0.00","62","71","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-06-26","11.63","0.00","63","71","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-06-27","11.63","0.00","63","74","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-06-28","14.99","0.00","60","67","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-06-29","10.51","0.00","63","77","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-06-30","11.41","0.00","64","77","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-07-01","7.61","0.00","61","77","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-07-02","7.16","0.00","62","70","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-07-03","11.18","0.00","61","68","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-07-04","13.42","0.00","62","79","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-07-05","19.91","0.00","64","72","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-07-06","25.05","0.00","61","67","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-07-07","17.90","0.00","60","71","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-07-08","12.53","0.00","61","73","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-07-09","14.32","0.00","61","74","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-07-10","15.88","0.00","60","73","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-07-11","14.32","0.00","62","76","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-07-12","14.99","0.00","63","76","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-07-13","12.75","0.00","62","73","55"
